nct_id,sponsor_types,num_collaborators,countries,num_countries,lead_sponsor_type
NCT02055352,INDUSTRY,0,Argentina;Brazil;Chile;Dominican Republic;Ecuador;Honduras;Mexico;Panama,8,INDUSTRY
NCT01017653,OTHER;INDUSTRY,1,United States,1,OTHER
NCT05787340,OTHER,0,Turkey (Türkiye),1,OTHER
NCT02298153,INDUSTRY,2,United States,1,INDUSTRY
NCT04156386,OTHER;INDUSTRY,1,United Kingdom,1,OTHER
NCT02391493,OTHER,0,France,1,OTHER
NCT03853538,INDUSTRY,0,Brazil,1,INDUSTRY
NCT01621932,OTHER,0,United States,1,OTHER
NCT00000696,NIH,0,United States,1,NIH
NCT02979301,OTHER,0,United States,1,OTHER
NCT01796860,OTHER,0,United States,1,OTHER
NCT00379535,OTHER;OTHER_GOV,1,France,1,OTHER
NCT00395603,INDUSTRY,0,,0,INDUSTRY
NCT03444350,OTHER,1,Turkey (Türkiye),1,OTHER
NCT03756623,OTHER,0,China,1,OTHER
NCT04680767,INDUSTRY,0,United Kingdom,1,INDUSTRY
NCT00968253,OTHER;INDUSTRY,1,United States,1,OTHER
NCT00461331,OTHER,0,United States,1,OTHER
NCT00194896,OTHER;INDUSTRY,2,United States,1,OTHER
NCT04043728,OTHER,0,United States,1,OTHER
NCT03854968,OTHER,0,Spain,1,OTHER
NCT01710878,INDUSTRY,0,France;Germany,2,INDUSTRY
NCT04200313,OTHER;NIH;INDUSTRY,4,United States,1,OTHER
NCT04467164,OTHER;NIH,1,United States,1,OTHER
NCT00381914,OTHER,0,Canada,1,OTHER
NCT01598272,INDUSTRY;OTHER,1,United States,1,INDUSTRY
NCT00345956,INDUSTRY,0,Vietnam,1,INDUSTRY
NCT00618098,INDUSTRY,0,United States,1,INDUSTRY
NCT02040376,OTHER,0,Canada,1,OTHER
NCT04785794,INDUSTRY;NIH,1,United States,1,INDUSTRY
NCT03327584,OTHER,0,United States,1,OTHER
NCT01567072,OTHER,1,Denmark,1,OTHER
NCT01493973,OTHER;UNKNOWN,2,Italy,1,OTHER
NCT03421808,OTHER;NIH,1,United States,1,OTHER
NCT03877120,OTHER,1,Mexico,1,OTHER
